wl,n
1.154,3.98903
1.155,3.98827
1.156,3.98751
1.157,3.98675
1.158,3.98599
1.159,3.98524
1.160,3.98448
1.161,3.98373
1.162,3.98298
1.163,3.98223
1.164,3.98148
1.165,3.98074
1.166,3.97999
1.167,3.97925
1.168,3.97851
1.169,3.97777
1.170,3.97703
1.171,3.97629
1.172,3.97556
1.173,3.97482
1.174,3.97409
1.175,3.97336
1.176,3.97263
1.177,3.97190
1.178,3.97117
1.179,3.97044
1.180,3.96972
1.181,3.96900
1.182,3.96828
1.183,3.96756
1.184,3.96684
1.185,3.96612
1.186,3.96541
1.187,3.96469
1.188,3.96398
1.189,3.96327
1.190,3.96256
1.191,3.96185
1.192,3.96115
1.193,3.96044
1.194,3.95974
1.195,3.95903
1.196,3.95833
1.197,3.95763
1.198,3.95694
1.199,3.95624
1.200,3.95554
1.201,3.95485
1.202,3.95416
1.203,3.95347
1.204,3.95278
1.205,3.95209
1.206,3.95140
1.207,3.95072
1.208,3.95003
1.209,3.94935
1.210,3.94867
1.211,3.94799
1.212,3.94731
1.213,3.94663
1.214,3.94596
1.215,3.94528
1.216,3.94461
1.217,3.94394
1.218,3.94327
1.219,3.94260
1.220,3.94193
1.221,3.94127
1.222,3.94060
1.223,3.93994
1.224,3.93928
1.225,3.93862
1.226,3.93796
1.227,3.93730
1.228,3.93664
1.229,3.93599
1.230,3.93534
1.231,3.93468
1.232,3.93403
1.233,3.93338
1.234,3.93273
1.235,3.93209
1.236,3.93144
1.237,3.93080
1.238,3.93016
1.239,3.92951
1.240,3.92887
1.241,3.92823
1.242,3.92760
1.243,3.92696
1.244,3.92632
1.245,3.92569
1.246,3.92506
1.247,3.92443
1.248,3.92380
1.249,3.92317
1.250,3.92254
1.251,3.92192
1.252,3.92129
1.253,3.92067
1.254,3.92005
1.255,3.91942
1.256,3.91880
1.257,3.91819
1.258,3.91757
1.259,3.91695
1.260,3.91634
1.261,3.91573
1.262,3.91511
1.263,3.91450
1.264,3.91389
1.265,3.91329
1.266,3.91268
1.267,3.91207
1.268,3.91147
1.269,3.91086
1.270,3.91026
1.271,3.90966
1.272,3.90906
1.273,3.90846
1.274,3.90787
1.275,3.90727
1.276,3.90668
1.277,3.90608
1.278,3.90549
1.279,3.90490
1.280,3.90431
1.281,3.90372
1.282,3.90313
1.283,3.90255
1.284,3.90196
1.285,3.90138
1.286,3.90079
